    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
   76;       [17];       [27];       [25];       [29];       [28];       [20];       [21];       [26];       [23];           ;           ;       [22];       [32];       [24];       [30]; [31]/S[16];
   77;       [17];       [27];       [25];       [29];       [28];       [20];       [21];       [26];       [23];           ;           ;       [22];       [32];       [24];       [30]; [31]/S[16];
   78;       [17];       [27];       [25];       [29];       [28];           ;       [21];       [26];       [23];           ;           ;       [22];       [32];       [24];       [30]; [31]/S[16];
   79;       [17];       [27];       [25];       [29];       [28];           ;       [21];       [26];       [23];           ;           ;       [22];       [32];       [24];       [30]; [31]/S[16];
   80;       [17];       [27];       [25];       [29];       [28];           ;       [21];       [26];       [23];           ;           ;       [22];       [32];       [24];       [30];       [31];
   81;       [17];       [27];           ;       [29];       [28];           ;       [21];       [26];       [23];           ;           ;       [22];       [32];       [24];       [30];       [31];
   82;       [17];       [27];           ;       [29];           ;           ;       [21];       [26];       [23];           ;           ;       [22];       [32];           ;       [30];       [31];
   83;  [17]/R[2];  [27]/S[2];           ;       [29];           ;           ;           ;       [26];       [23];           ;           ;       [22];       [32];           ;       [30];       [31];
   84;      /R[3];       [27];      /S[3];       [29];           ;           ;           ;           ;       [23];           ;           ;       [22];       [32];           ;       [30];       [31];
   85;      /R[3];       [27];      /S[3];       [29];           ;           ;           ;           ;       [23];           ;           ;       [22];       [32];           ;       [30];       [31];
   86;      /R[4];       [27];           ;  [29]/S[4];           ;           ;           ;           ;       [23];           ;           ;       [22];       [32];           ;       [30];       [31];
   87;      /R[4];       [27];           ;  [29]/S[4];           ;           ;           ;           ;       [23];           ;           ;       [22];       [32];           ;       [30];       [31];
   88;      /R[4];       [27];           ;  [29]/S[4];           ;           ;           ;           ;           ;           ;           ;           ;       [32];           ;       [30];       [31];
   89;     /R[18];       [27];           ;       [29];           ;           ;           ;           ;           ;           ;     /S[18];           ;       [32];           ;       [30];       [31];
   90;     /R[18];           ;           ;           ;           ;           ;           ;           ;           ;           ;     /S[18];           ;       [32];           ;       [30];       [31];
   91;     /R[18];           ;           ;           ;           ;           ;           ;           ;           ;           ;     /S[18];           ;       [32];           ;       [30];       [31];
   92;     /R[18];           ;           ;           ;           ;           ;           ;           ;           ;           ;     /S[18];           ;       [32];           ;       [30];       [31];
   93;     /R[19];           ;           ;           ;           ;           ;           ;           ;           ;     /S[19];           ;           ;       [32];           ;       [30];       [31];
   94;     /R[19];           ;           ;           ;           ;           ;           ;           ;           ;     /S[19];           ;           ;       [32];           ;       [30];       [31];
   95;     /R[19];           ;           ;           ;           ;           ;           ;           ;           ;     /S[19];           ;           ;       [32];           ;       [30];       [31];
   96;     /R[20];           ;           ;           ;           ;     /S[20];           ;           ;           ;           ;           ;           ;       [32];           ;       [30];       [31];
   97;     /R[20];           ;           ;           ;           ;     /S[20];           ;           ;           ;           ;           ;           ;       [32];           ;       [30];       [31];
   98;       [33];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [32];           ;       [30];       [31];
   99;       [33];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [32];           ;       [30];       [31];
  100;       [33];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [32];           ;       [30];       [31];
  101;       [33];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [32];           ;       [30];       [31];
  102;       [33];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [30];       [31];
  103;       [33];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [30];       [31];
  104;       [33];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [31];
  105;       [33];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [31];
  106;       [33];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [31];
  107;       [33];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [31];
  108;       [33];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
  109;       [33];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
  110;       [33];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
  111;       [33];           ;     /S[25];           ;     /R[25];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
  112;       [33];     /R[21];     /S[25];           ;     /R[25];           ;     /S[21];           ;     /R[22];           ;           ;     /S[22];           ;           ;           ;           ;
  113;       [34];     /R[21];     /S[25];           ;     /R[25];     /R[18];     /S[21];           ;     /R[22];           ;     /S[18];     /S[22];           ;           ;           ;           ;
  114; [34]/S[33];     /R[33];     /R[29];     /S[29];     /R[33];     /R[18];     /R[30];           ;     /R[22];           ;     /S[18];     /S[22];           ;           ;     /S[30];           ;
  115; [34]/S[33];       [35];     /R[33];     /R[26];       [36];     /R[33];     /R[30];     /S[26];     /R[33];           ;     /R[31];           ;           ;           ;     /S[30];     /S[31];
  116; [34]/S[33]; [35]/S[27];     /R[33];     /R[33]; [36]/S[28];     /R[33];     /R[33];     /R[27];     /S[23];     /R[33];     /R[31];           ;     /R[23];           ;     /R[28];     /S[31];
  117;     /S[33]; [35]/S[27];       [37];     /R[33]; [36]/S[28]; [38]/S[20];     /R[33];     /R[27];       [39];     /R[33];     /R[33];           ;     /R[33];     /R[20];     /R[28];           ;
  118;     /S[33]; [35]/S[27];       [37];     /R[33]; [36]/S[28]; [38]/S[20];     /R[33];     /R[27];       [39];     /R[33];     /R[33];     /R[24];     /R[33];     /S[24];     /R[28];           ;
  119;     /S[33];     /R[32];       [37];       [40];     /S[28];       [38]; [41]/S[21];     /R[33];       [39];       [42];     /R[33];     /R[24];     /S[32];     /S[24];     /R[28];           ;
  120;     /S[33];     /R[32];       [37];       [40];           ;       [38]; [41]/S[21];     /R[33];       [39];       [42];     /R[33];     /R[24]; [43]/S[32];     /S[24];     /R[33];           ;
  121;     /S[33];     /R[32];           ;       [40];           ;           ; [41]/S[21];     /R[33];           ;       [42];       [45];     /R[33]; [43]/S[32];     /R[21];     /R[33];           ;
  122;     /S[33];     /R[32];           ;       [40];           ;           ;       [41];     /R[33];           ;       [42];       [45];     /R[33]; [43]/S[32];     /R[33];     /R[33];           ;
  123;     /S[33];     /R[33];           ;           ;           ;           ;           ;       [44];           ;           ;       [45];     /R[33];       [43];     /R[33];     /R[33];           ;
  124;     /S[33];       [49];           ;           ;           ;           ;           ;       [44];           ;           ;       [45];     /R[33];           ;     /R[33];     /R[33];           ;
  125;     /S[33];       [49];           ;           ;           ;     /R[39];           ;       [44];     /S[39];           ;           ;     /R[33];           ;     /R[33];       [48];           ;
  126;           ;       [49];           ;           ;           ;     /R[39];           ;       [44];     /S[39];           ;           ;       [47];           ;       [46];       [48];           ;
  127;     /R[35]; [49]/S[35];           ;     /S[40];           ;     /R[40];           ;           ;           ;           ;           ;       [47];           ;       [46];       [48];           ;
  128;     /R[36];           ;           ;     /S[40];     /S[36];     /R[40];           ;           ;           ;     /S[42];     /R[42];       [47];           ;       [46];       [48];           ;
  129;     /R[37];           ;     /S[37];     /S[40];           ;     /R[40];           ;           ;           ;           ;     /R[43];       [47];     /S[43];       [46];           ;           ;
  130;     /R[37];           ;     /S[37];           ;           ;     /R[41];     /S[41];           ;           ;           ;     /R[43];           ;     /S[43];           ;           ;           ;
  131;       [50];           ;           ;           ;           ;       [51];           ;           ;           ;           ;     /R[43];           ;     /S[43];           ;           ;           ;
  132;       [50];           ;           ;           ;           ;       [51];           ;     /S[44];           ;           ;     /R[44];           ;           ;           ;           ;           ;
  133;       [50];           ;           ;           ;           ;       [51];           ;     /S[44];           ;           ;     /R[44];           ;           ;           ;           ;           ;
  134;       [50];           ;           ;           ;           ;       [51];           ;           ;           ;           ;       [52];           ;           ;           ;           ;           ;
  135;       [50];           ;           ;           ;           ;       [51];           ;           ;           ;           ;       [52];           ;           ;           ;           ;           ;
  136;       [50];           ;           ;           ;           ;       [51];           ;           ;           ;     /R[46];       [52];           ;           ;     /S[46];           ;           ;
  137;       [50];           ;           ;           ;           ;       [51];           ;           ;           ;     /R[47];       [52];     /S[47];           ;           ;           ;           ;
  138;       [50];           ;           ;           ;           ;       [51];           ;           ;           ;     /R[47];       [52];     /S[47];           ;           ;           ;           ;
  139;       [50];           ;           ;           ;           ;       [51];           ;           ;           ;     /R[48];       [52];           ;           ;           ;     /S[48];           ;
  140;       [50];           ;           ;           ;           ;       [51];           ;           ;           ;     /R[48];       [52];           ;           ;           ;     /S[48];           ;
  141;       [50];     /S[49];           ;           ;           ;       [51];           ;           ;           ;     /R[49];       [52];           ;           ;           ;           ;           ;
  142;       [50];     /S[49];           ;           ;           ;       [51];           ;           ;           ;     /R[49];       [52];           ;           ;           ;           ;           ;
  143;       [50];           ;           ;           ;           ;       [51];           ;           ;           ;       [53];       [52];           ;           ;           ;           ;           ;
  144;       [50];           ;           ;           ;           ;       [51];           ;           ;           ;       [53];       [52];           ;           ;           ;           ;           ;
  145;       [50];           ;           ;           ;           ;       [51];           ;           ;           ;       [53];       [52];           ;           ;           ;           ;           ;
  146;       [50];           ;           ;           ;           ;       [51];           ;           ;           ;       [53];       [52];           ;           ;           ;           ;           ;
  147;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];       [52];           ;           ;           ;           ;           ;
  148;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];       [52];           ;           ;           ;           ;           ;
  149;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];       [52];           ;           ;           ;           ;           ;
  150;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];           ;           ;           ;           ;           ;           ;
  151;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];           ;           ;           ;           ;           ;           ;
  152;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];           ;           ;           ;           ;           ;           ;
  153;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];           ;           ;           ;           ;           ;           ;
  154;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];           ;           ;           ;           ;           ;           ;
  155;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];           ;           ;           ;           ;           ;           ;
  156;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];           ;           ;           ;           ;           ;           ;
  157;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];           ;           ;           ;           ;           ;           ;
  158;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];           ;           ;           ;           ;           ;           ;
