    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
   66;       [17];       [19];      /R[4];  [18]/S[4];       [20];       [23];       [22]; [24]/S[16];
   67;       [17];       [19];      /R[4];  [18]/S[4];       [20];       [23];       [22];       [24];
   68;           ;       [19];      /R[6];       [18];       [20];  [23]/S[6];       [22];       [24];
   69;           ;       [19];      /R[7];       [18];       [20];       [23];  [22]/S[7];       [24];
   70;      /R[3];       [19];      /S[3];       [18];       [20];       [23];  [22]/S[7];       [24];
   71;      /R[3];       [19];      /S[3];       [18];       [20];       [23];       [22];  [24]/S[8];
   72;      /R[4];       [19];      /R[8];  [18]/S[4];       [20];       [23];       [22];  [24]/S[8];
   73;      /R[4];       [19];      /R[8];  [18]/S[4];       [20];       [23];       [22];  [24]/S[8];
   74;      /R[5];       [19];     /R[14];       [18];  [20]/S[5]; [23]/S[14];       [22];       [24];
   75;      /R[6];       [19];     /R[15];       [18];       [20];  [23]/S[6]; [22]/S[15];       [24];
   76;      /R[6];       [19];     /R[15];       [18];       [20];  [23]/S[6]; [22]/S[15];       [24];
   77;      /R[6];       [19];     /R[16];       [18];       [20];  [23]/S[6];       [22]; [24]/S[16];
   78;      /R[7];       [19];     /R[16];       [18];       [20];       [23];  [22]/S[7]; [24]/S[16];
   79;      /R[7];       [19];     /R[16];       [18];       [20];       [23];  [22]/S[7]; [24]/S[16];
   80;      /R[8];       [19];       [25];       [18];       [20];       [23];       [22];  [24]/S[8];
   81;      /R[8];       [19];       [25];       [18];       [20];       [23];       [22];  [24]/S[8];
   82;      /R[8];       [19];       [25];       [18];       [20];       [23];       [22];  [24]/S[8];
   83;     /R[13];       [19];       [25];       [18]; [20]/S[13];       [23];       [22];       [24];
   84;      /S[1];       [19];       [25];      /R[1];       [20];       [23]; [22]/S[15];       [24];
   85;      /S[1];       [19];       [25];      /R[1];       [20];       [23];      /R[1];       [24];
   86;      /S[1];       [19];  [25]/S[3];      /R[3];       [20];       [23];      /R[1]; [24]/S[16];
   87;      /S[1];      /R[1];  [25]/S[3];      /R[3];      /R[1];       [23];      /R[2]; [24]/S[16];
   88;     /R[16];      /S[2];  [25]/S[3];      /R[5];      /R[2];       [23];      /R[2]; [24]/S[16];
   89;       [26];      /R[5];  [25]/S[3];      /R[5];      /R[3];       [23];      /R[3];       [24];
   90;       [26];      /R[7];  [25]/S[3];      /S[4];      /R[4];  [23]/S[6];      /S[7];       [24];
   91;       [26];      /R[7];       [25];      /S[4];      /R[4];       [23];      /S[7];  [24]/S[8];
   92;       [26];      /R[8];       [25];     /R[13];      /R[8];  [23]/S[6];      /R[6];  [24]/S[8];
   93;  [26]/S[1];      /R[8];       [25];     /R[13];      /R[8];  [23]/R[1];     /R[13];  [24]/S[8];
   94;  [26]/S[1];     /R[11]; [25]/S[11];     /R[14];      /R[9];      /R[1];     /R[14];       [24];
   95;  [26]/S[1];     /R[12]; [25]/S[11];     /S[12];     /R[11];      /R[1]; [28]/S[15]; [24]/S[16];
   96;       [26];  [29]/S[2];       [25]; [27]/S[12];     /R[12];      /R[2];       [28];       [24];
   97;       [26];  [29]/S[2];       [25]; [27]/S[12];     /R[12];      /R[2];       [28];       [24];
   98;       [26];       [29];       [25];  [27]/S[4];       [30];      /R[4];       [28];       [24];
   99;       [26];       [29];       [25];       [27];  [30]/S[5];      /R[7];  [28]/S[7];       [24];
  100;       [26];       [29];       [25];       [27];  [30]/S[5];      /R[8];       [28];  [24]/S[8];
  101;       [26];       [29];       [25];       [27];       [30];      /R[8];       [28];  [24]/S[8];
