    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
   80;       [33];           ;       [27];           ;       [28];           ;       [29];       [30];           ;           ;           ;       [23];       [22];       [24];       [31];       [32];
   81;       [33];           ;       [27];           ;       [28];           ;       [29];       [30];           ;           ;           ;       [23];       [22];       [24];       [31];       [32];
   82;       [33];           ;       [27];           ;       [28];           ;       [29];       [30];           ;           ;           ;       [23];       [22];       [24];       [31];       [32];
   83;       [33];           ;       [27];           ;       [28];           ;       [29];       [30];           ;           ;           ;       [23];       [22];       [24];       [31];       [32];
   84;       [33];           ;       [27];           ;       [28];           ;       [29];       [30];           ;           ;           ;       [23];       [22];       [24];       [31];       [32];
   85;       [33];           ;       [27];           ;       [28];           ;       [29];       [30];           ;           ;           ;       [23];       [22];       [24];       [31];       [32];
   86;       [33];           ;       [27];           ;       [28];           ;       [29];       [30];           ;           ;           ;       [23];           ;       [24];       [31];       [32];
   87;       [33];           ;       [27];           ;       [28];           ;       [29];       [30];           ;           ;           ;       [23];           ;       [24];       [31];       [32];
   88;       [33];           ;       [27];           ;           ;           ;       [29];       [30];           ;           ;           ;           ;           ;           ;       [31];       [32];
   89;       [33];           ;       [27];           ;           ;           ;       [29];       [30];           ;           ;           ;           ;           ;           ;       [31];       [32];
   90;       [33];           ;           ;           ;           ;           ;       [29];       [30];           ;           ;           ;           ;           ;           ;       [31];       [32];
   91;       [33];           ;           ;           ;           ;           ;       [29];       [30];           ;           ;           ;           ;           ;           ;       [31];       [32];
   92;       [33];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [31];       [32];
   93;       [33];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [31];       [32];
   94; [34]/S[33];     /R[33];           ;     /S[25];     /R[25];           ;           ;           ;           ;           ;           ;           ;           ;           ;       [31];       [32];
   95;       [34];       [35];           ;     /S[25];     /R[25];           ;     /S[29];           ;     /R[29];           ;           ;           ;           ;           ;       [31];       [32];
   96; [34]/S[33]; [35]/S[21];     /R[22];     /R[26];     /R[33];     /S[26];     /R[19];           ;     /S[18];     /S[19];     /R[21];     /R[18];     /S[22];           ;       [31];       [32];
   97; [34]/S[33];       [35];     /S[27];     /R[33]; [36]/S[28];     /R[30];     /R[19];     /R[23];       [37];     /R[27];     /R[33];     /S[23];     /R[24];     /R[28];       [31];       [32];
   98;     /S[33];       [35];     /S[27];     /R[33]; [36]/S[28];     /R[33];     /R[33];     /R[23];       [37];     /R[27];     /R[33]; [38]/S[23];     /R[33];     /R[28];     /R[33];       [32];
   99;     /S[33];           ;       [39];       [40];       [36];     /R[33];     /R[33];     /R[33];       [37];     /R[33];       [46];       [38];     /R[33];     /R[33];     /R[33];       [32];
  100;     /S[33];           ;       [39];       [40];       [36];       [41];       [42];     /R[33];       [37];     /R[33];       [46];       [38];       [47];     /R[33];       [45];       [32];
  101;           ;           ;       [39];       [40];           ;       [41];       [42]; [43]/S[30];           ; [44]/S[19];       [46];       [38];       [47]; [48]/S[24];       [45];       [32];
  102;           ;           ;       [39];       [40];           ;       [41];       [42];       [43];           ;       [44];       [46];           ;       [47];       [48];       [45];       [32];
  103;     /S[33];           ;           ;           ;           ;       [41];       [42];       [43];           ;       [44];           ;           ;       [47];       [48];       [45]; [32]/R[33];
  104;     /S[34];           ;     /R[38];           ;     /R[34];           ;           ;       [43];           ;       [44];           ;     /S[38];           ;       [48];           ; [32]/R[33];
  105;     /S[33];     /S[35];     /R[40];     /S[40];     /R[35];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ; [32]/R[33];
  106;     /R[42];           ;     /R[41];           ;     /R[37];     /S[41];     /S[42];           ;     /S[37];           ;           ;           ;           ;           ;           ;       [49];
  107;     /R[42];           ;       [51];           ;       [50];           ;     /S[42];           ;           ;           ;           ;           ;           ;           ;           ;       [49];
  108;     /R[43];           ;       [51];           ;       [50];           ;           ;     /S[43];           ;           ;     /S[46];           ;           ;           ;           ; [49]/R[46];
  109;     /R[43];           ;       [51];           ;       [50];           ;           ;     /S[43];           ;           ;     /S[46];           ;           ;           ;           ; [49]/R[46];
  110;     /R[44];           ;       [51];           ;       [50];           ;           ;           ;           ;     /S[44];           ;           ;     /S[47];           ;           ;     /R[47];
  111;     /R[44];           ;       [51];           ;       [50];           ;           ;           ;           ;     /S[44];           ;           ;     /S[47];           ;           ;     /R[47];
  112;     /R[45];           ;       [51];           ;       [50];           ;           ;           ;           ;           ;           ;           ;           ;     /S[48];     /S[45];     /R[48];
  113;     /R[45];           ;       [51];           ;       [50];           ;           ;           ;           ;           ;           ;           ;           ;     /S[48];     /S[45];     /R[48];
  114;       [52];           ;       [51];           ;       [50];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];
  115;       [52];           ;       [51];           ;       [50];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];
  116;       [52];           ;       [51];           ;       [50];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];
  117;       [52];           ;       [51];           ;       [50];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];
  118;       [52];           ;       [51];           ;       [50];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];
  119;       [52];           ;       [51];           ;       [50];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];
  120;       [52];           ;       [51];           ;       [50];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];
  121;       [52];           ;       [51];           ;       [50];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];
  122;       [52];           ;       [51];           ;       [50];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];
  123;       [52];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];
  124;       [52];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];
  125;       [52];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];
  126;       [52];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];
  127;       [52];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];
  128;       [52];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];
  129;       [52];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [53];
