    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
   39;       [17];           ;           ;           ;           ;           ;       [26];           ;           ;       [21];           ;       [25];       [19];       [18]; [20]/S[15];           ;
   40;       [17];           ;           ;           ;           ;           ;       [26];           ;           ;       [21];           ;       [25];       [19];       [18]; [20]/S[15];           ;
   41;  [17]/S[1];           ;           ;           ;           ;           ;  [26]/S[7];      /R[1];           ;       [21];           ;       [25];       [19];       [18]; [20]/S[15];           ;
   42;  [17]/S[1];           ;           ;           ;           ;           ;  [26]/S[7];      /R[1];           ; [21]/S[10];           ;       [25];       [19];       [18];       [20];           ;
   43;  [17]/S[1];           ;           ;           ;           ;           ;  [26]/S[7];      /R[1];           ;       [21];           ; [25]/S[12];       [19];       [18];       [20];           ;
   44;  [17]/S[1];      /S[2];           ;           ;           ;           ;       [26];      /R[2];      /R[1];       [21];           ; [25]/S[12];       [19];       [18]; [20]/S[15];           ;
   45;  [17]/S[1];      /S[2];      /R[1];      /R[1];           ;           ;       [26];      /R[2];      /R[3];       [21];      /R[1]; [25]/S[12];       [19];       [18];       [20];           ;
   46;  [17]/S[1];      /R[3];      /S[3];      /S[4];           ;           ;  [26]/S[7];      /R[4];      /R[3]; [21]/S[10];      /R[1];       [25];       [19];       [18];       [20];           ;
   47;  [17]/S[1];      /R[5];      /R[2];      /R[2];      /S[5];      /S[6];       [26];      /R[6];      /R[4]; [21]/S[10];      /R[1]; [25]/S[12];       [19];       [18];       [20];           ;
   48;  [17]/S[1];      /R[7];      /R[9];      /R[9];      /R[1];      /S[6];  [26]/S[7];      /R[6];      /S[9];       [21];      /R[2]; [25]/S[12];       [19];       [18];       [20];           ;
   49;  [17]/S[1];      /R[7];      /S[3];      /R[9];      /R[3];      /R[1];  [26]/S[7];      /R[7];      /S[9];       [21];      /R[2]; [25]/S[12];       [19];       [18];       [20];           ;
   50;       [17];      /S[2];     /R[10];      /S[4];      /R[4];      /R[2];  [26]/S[7];      /R[7];     /R[11]; [21]/S[10];      /R[2];       [25];       [19];       [18];       [20];           ;
   51;  [17]/S[1];      /S[2];      /S[3];      /S[4];      /R[4];      /R[2];       [26];      /R[9];      /S[9];       [21];      /R[3];       [25];       [19];       [18];       [20];      /R[1];
   52;  [17]/S[1];     /R[10];      /S[3];     /R[12];      /R[6];      /R[3];       [26];      /R[9];      /S[9]; [21]/S[10];      /R[3];       [25];       [19];       [18];       [20];      /R[1];
   53;  [17]/S[1];     /R[10];     /R[13];      /S[4];      /S[5];      /R[4];       [26];      /R[9];      /S[9]; [21]/S[10];      /R[5];       [25]; [19]/S[13];       [18];       [20];      /R[1];
   54;  [17]/S[1];     /R[11];     /R[13];      /S[4];      /R[8];      /R[4];       [26];     /R[10];     /R[12]; [21]/S[10];     /S[11];       [25]; [19]/S[13];       [18];       [20];      /R[1];
   55;       [17];      /S[2];     /R[14];     /R[14];      /S[5];      /R[5];  [26]/S[7];     /R[10];     /R[12]; [21]/S[10];     /S[11];       [25];       [19]; [18]/S[14];       [20];      /R[2];
   56;       [17];      /S[2];     /R[14];     /R[14];      /S[5];      /R[5];  [26]/S[7];     /R[12];     /R[13];       [21];      /R[7]; [25]/S[12]; [19]/S[13]; [18]/S[14];       [20];      /R[2];
   57;       [17];      /S[2];     /R[14];     /R[16];     /R[13];      /R[8];       [26];       [31];     /R[15];       [21];     /R[13]; [25]/S[12]; [19]/S[13]; [18]/S[14]; [20]/S[15];      /R[2];
   58;       [17];      /S[2];     /R[15];     /R[16];     /R[14];      /R[8];       [26];       [31];     /R[15];       [21];     /R[13]; [25]/S[12]; [19]/S[13]; [18]/S[14]; [20]/S[15];      /R[2];
   59;       [17];       [29];     /R[15];  [23]/S[4];     /R[14];      /R[9];       [26];       [31];      /S[9];       [21];     /R[13];       [25]; [19]/S[13]; [18]/S[14]; [20]/S[15];      /R[4];
   60;       [17];       [29];     /R[15];  [23]/S[4];     /R[16];      /R[9];       [26];       [31];      /S[9];       [21];     /R[14];       [25];       [19]; [18]/S[14]; [20]/S[15];      /R[4];
   61;       [17];  [29]/S[2];  [24]/S[3];  [23]/S[4];     /R[16];      /R[9];       [26];       [31];      /S[9];       [21];     /R[15];       [25];       [19];       [18]; [20]/S[15];      /R[4];
   62;       [17];  [29]/S[2];  [24]/S[3];  [23]/S[4];     /R[16];     /R[11];       [26];       [31];       [22];       [21];     /S[11];       [25];       [19];       [18]; [20]/S[15];      /R[4];
   63;       [17];  [29]/S[2];       [24];       [23];  [27]/S[5];     /R[12];       [26];  [31]/S[8];       [22];       [21];       [28]; [25]/S[12];       [19];       [18];       [20];      /R[5];
   64;       [17];  [29]/S[2];       [24];       [23];  [27]/S[5];       [30];       [26];  [31]/S[8];       [22];       [21];       [28];       [25];       [19];       [18];       [20];      /R[5];
   65;       [17];       [29];       [24];       [23];  [27]/S[5];       [30];       [26];       [31];       [22];       [21];       [28];       [25];       [19];       [18];       [20];      /R[5];
   66;       [17];       [29];       [24];       [23];  [27]/S[5];       [30];       [26];       [31];       [22];       [21];       [28];       [25];       [19];       [18];       [20];      /R[5];
   67;       [17];       [29];       [24];       [23];       [27];  [30]/S[6];       [26];  [31]/S[8];       [22];       [21]; [28]/S[11];       [25];       [19];       [18];       [20];      /R[6];
   68;       [17];       [29];       [24];       [23];       [27];  [30]/S[6];       [26];  [31]/S[8];       [22];       [21]; [28]/S[11];       [25];       [19];       [18];       [20];      /R[6];
   69;       [17];       [29];       [24];       [23];       [27];  [30]/S[6];       [26];       [31];       [22];       [21]; [28]/S[11]; [25]/S[12];       [19];       [18];       [20];      /R[6];
   70;           ;       [29];       [24];       [23];       [27];  [30]/S[6];       [26];  [31]/S[8];       [22];       [21]; [28]/S[11]; [25]/S[12];       [19];       [18];       [20];      /R[6];
   71;           ;       [29];       [24];       [23];       [27];  [30]/S[6];  [26]/S[7];  [31]/S[8];       [22];       [21];       [28]; [25]/S[12];       [19];           ;       [20];      /R[7];
   72;           ;       [29];       [24];       [23];       [27];       [30];  [26]/S[7];       [31];       [22];       [21];       [28]; [25]/S[12];       [19];           ;       [20];      /R[7];
