    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
   34;       [17];  [31]/S[2];  [29]/S[3];  [30]/S[4];       [28];  [27]/S[6];  [26]/S[7];       [25];  [24]/S[9];       [23];       [22];       [21]; [20]/S[13];       [19]; [18]/S[15];      /R[2];
   35;       [17];       [31];  [29]/S[3];  [30]/S[4];       [28];  [27]/S[6];       [26];       [25];  [24]/S[9];       [23]; [22]/S[11];       [21]; [20]/S[13];       [19]; [18]/S[15];      /R[4];
   36;       [17];       [31];  [29]/S[3];  [30]/S[4];       [28];       [27];       [26];       [25];  [24]/S[9]; [23]/S[10];       [22];       [21];       [20];       [19];       [18];      /R[4];
   37;       [17];       [31];  [29]/S[3];  [30]/S[4];  [28]/S[5];       [27];       [26];       [25];       [24]; [23]/S[10]; [22]/S[11];       [21];       [20];       [19];       [18];      /R[5];
   38;       [17];       [31];       [29];  [30]/S[4];  [28]/S[5];       [27];       [26];       [25];       [24]; [23]/S[10];       [22]; [21]/S[12];       [20]; [19]/S[14];       [18];      /R[5];
   39;       [17];       [31];       [29];  [30]/S[4];  [28]/S[5];       [27];       [26];       [25];       [24];       [23]; [22]/S[11]; [21]/S[12];       [20]; [19]/S[14];       [18];      /R[5];
   40;       [17];       [31];       [29];       [30];       [28];  [27]/S[6];       [26];       [25];       [24];       [23]; [22]/S[11]; [21]/S[12];       [20];       [19];       [18];      /R[6];
   41;       [17];       [31];       [29];       [30];       [28];  [27]/S[6];       [26];       [25];       [24];       [23];       [22];       [21]; [20]/S[13];       [19];       [18];      /R[6];
   42;       [17];       [31];       [29];       [30];       [28];       [27];  [26]/S[7];       [25];       [24];       [23];       [22];       [21];       [20];       [19];       [18];      /R[7];
   43;       [17];       [31];       [29];       [30];       [28];       [27];  [26]/S[7];       [25];       [24];       [23];       [22];       [21];       [20];       [19];       [18];      /R[7];
   44;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];  [24]/S[9];       [23];       [22];       [21];       [20];       [19];       [18];      /R[9];
   45;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];  [24]/S[9];       [23];       [22];       [21];       [20];       [19];       [18];      /R[9];
   46;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];  [24]/S[9];       [23];       [22];       [21];       [20];       [19];       [18];      /R[9];
   47;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24]; [23]/S[10];       [22];       [21];       [20];       [19];       [18];     /R[10];
   48;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24]; [23]/S[10];       [22];       [21];       [20];       [19];       [18];     /R[10];
   49;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24];       [23]; [22]/S[11];       [21];       [20];       [19];       [18];     /R[11];
   50;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24];       [23]; [22]/S[11];       [21];       [20];       [19];       [18];     /R[11];
   51;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24];       [23];       [22];       [21];       [20];       [19];       [18]; [32]/S[16];
   52;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24];       [23];       [22];       [21];       [20];       [19];       [18];       [32];
   53;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24];       [23];       [22];       [21];       [20];       [19];       [18];       [32];
   54;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24];       [23];       [22];       [21];       [20];       [19];       [18]; [32]/S[16];
   55;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24];       [23];       [22];       [21];       [20];       [19];       [18]; [32]/S[16];
   56;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24];       [23];       [22];       [21];       [20];       [19];       [18];       [32];
   57;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24];       [23];       [22];       [21];       [20];       [19];       [18];       [32];
   58;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24];       [23];       [22];       [21];       [20];       [19];       [18];       [32];
   59;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24];       [23];       [22];       [21];       [20];       [19];       [18];       [32];
   60;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24];       [23];       [22];       [21];       [20];       [19];       [18];       [32];
   61;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24];       [23];       [22];       [21];       [20];       [19];       [18];       [32];
   62;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24];       [23];       [22];       [21];       [20];       [19];       [18];       [32];
   63;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24];       [23];       [22];       [21];       [20];       [19];       [18];       [32];
   64;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24];       [23];       [22];       [21];       [20];       [19];       [18];       [32];
   65;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24];       [23];       [22];       [21];       [20];       [19];       [18];       [32];
   66;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24];       [23];       [22];       [21];       [20];       [19];       [18];       [32];
   67;       [17];       [31];       [29];       [30];       [28];       [27];       [26];       [25];       [24];       [23];       [22];       [21];       [20];       [19];       [18];       [32];
   68;       [17];       [31];       [29];       [30];       [28];       [27];       [26];           ;       [24];       [23];       [22];       [21];       [20];       [19];       [18];       [32];
   69;       [17];       [31];       [29];       [30];       [28];       [27];           ;           ;       [24];       [23];       [22];       [21];       [20];       [19];       [18];       [32];
   70;           ;       [31];       [29];       [30];           ;       [27];           ;           ;           ;           ;           ;       [21];       [20];           ;           ;       [32];
   71;           ;       [31];       [29];       [30];           ;       [27];           ;           ;           ;           ;           ;       [21];       [20];           ;           ;       [32];
   72;      /S[1];           ;       [29];       [30];           ;       [27];           ;           ;           ;           ;           ;       [21];  [20]/R[1];           ;           ;       [32];
   73;      /S[1];           ;       [29];       [30];           ;       [27];           ;           ;           ;           ;           ;       [21];  [20]/R[1];           ;           ;       [32];
   74;           ;      /S[2];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;      /R[2];           ;           ;       [32];
   75;           ;      /S[2];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;      /R[2];           ;           ;       [32];
   76;           ;      /S[2];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;      /R[2];           ;           ;       [32];
   77;           ;           ;      /S[3];           ;           ;           ;           ;           ;           ;           ;           ;           ;      /R[3];           ;           ;       [32];
   78;           ;           ;      /S[3];           ;           ;           ;           ;           ;           ;           ;           ;           ;      /R[3];           ;           ;       [32];
   79;           ;           ;      /S[3];           ;           ;           ;           ;           ;           ;           ;           ;           ;      /R[3];           ;           ;       [32];
   80;           ;           ;           ;      /S[4];           ;           ;           ;           ;           ;           ;           ;           ;      /R[4];           ;           ;       [32];
   81;           ;           ;           ;      /S[4];           ;           ;           ;           ;           ;           ;           ;           ;      /R[4];           ;           ;       [32];
   82;           ;           ;           ;      /S[4];           ;           ;           ;           ;           ;           ;           ;           ;      /R[4];           ;           ;       [32];
   83;           ;           ;           ;      /S[4];           ;           ;           ;           ;           ;           ;           ;           ;      /R[4];           ;           ;       [32];
   84;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;     /R[17];           ;           ;       [32];
   85;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;     /R[17];           ;           ;       [32];
   86;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;     /R[18];           ;     /S[18];       [32];
   87;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;     /R[19];     /S[19];           ;       [32];
   88;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [33];           ;           ;       [32];
   89;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [33];           ;           ;       [32];
   90;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [33];           ;           ;       [32];
   91;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [33];           ;           ;       [32];
   92;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [33];           ;           ;           ;
   93;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [33];           ;           ;           ;
   94;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [33];           ;           ;           ;
   95;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [33];           ;           ;           ;
   96;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [33];           ;           ;           ;
   97;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [33];           ;           ;           ;
   98;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [33];           ;           ;           ;
   99;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [33];           ;           ;           ;
  100;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;       [33];           ;           ;           ;
  101;     /S[17];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ; [33]/R[17];           ;           ;           ;
  102;     /S[17];           ;     /S[29];           ;     /R[25];           ;           ;     /S[25];     /R[29];           ;           ;           ; [33]/R[17];     /R[18];     /S[18];           ;
  103;     /R[21];           ;     /S[29];           ;     /R[25];     /R[26];     /S[26];     /S[25];     /R[29];           ;           ;     /S[21];       [34];     /R[18];     /S[18];           ;
  104;     /R[21];           ;           ;           ;     /R[33];     /R[26];     /S[26];           ;     /R[33];           ;     /S[22];     /S[21]; [34]/S[33];     /R[33];     /R[22];           ;
