    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
   66;  [17]/R[2];  [19]/S[2];       [18];       [20];       [24];       [23];       [22];       [21];
   67;      /R[3];       [19];  [18]/S[3];       [20];       [24];       [23];       [22];       [21];
   68;      /R[4];       [19];       [18];  [20]/S[4];       [24];       [23];       [22];       [21];
   69;      /R[4];       [19];       [18];  [20]/S[4];       [24];       [23];       [22];       [21];
   70;      /R[6];       [19];  [18]/S[3];       [20];       [24];  [23]/S[6];       [22];  [21]/R[3];
   71;      /R[6];       [19];  [18]/S[3];       [20];       [24];  [23]/S[6];       [22];  [21]/R[3];
   72;      /R[7];       [19];       [18];  [20]/S[4];       [24];       [23];  [22]/S[7];      /R[4];
   73;      /R[7];       [19];       [18];       [20];  [24]/S[5];       [23];  [22]/S[7];      /R[5];
   74;      /R[8];       [19];       [18];       [20];  [24]/S[5];       [23];       [22];      /R[5];
   75;      /R[8];       [19];       [18];       [20];       [24];  [23]/S[6];       [22];      /R[6];
   76;      /R[8];       [19];       [18];       [20];       [24];       [23];  [22]/S[7];      /R[7];
   77;     /R[14];       [19];       [18];       [20]; [24]/S[13]; [23]/S[14];       [22];     /R[13];
   78;     /R[14];       [19];       [18];       [20]; [24]/S[13]; [23]/S[14];       [22];     /R[13];
   79;     /R[15];       [19];       [18];       [20];       [24];       [23]; [22]/S[15];     /R[15];
   80;     /R[15];       [19];       [18];       [20];       [24];       [23]; [22]/S[15];       [26];
   81;     /R[16];       [19];       [18];       [20];       [24];       [23];       [22];       [26];
   82;     /R[16];       [19];       [18];       [20];       [24];       [23];       [22];  [26]/S[8];
   83;     /R[16];       [19];       [18];       [20];       [24];       [23];       [22];  [26]/S[8];
   84;  [25]/S[1];       [19];       [18];       [20];       [24];       [23];      /R[1];  [26]/S[8];
   85;  [25]/S[1];       [19];       [18];       [20];       [24];       [23];      /R[1];       [26];
   86;  [25]/S[1];      /R[1];      /R[1];       [20];      /R[1];      /R[1];      /R[3];       [26];
   87;  [25]/S[1];      /S[2];      /R[2];  [20]/S[4];      /R[2];      /R[1];      /R[4];       [26];
   88;       [25];      /S[2];      /R[2];  [20]/S[4];      /R[2];      /R[2];      /R[4];       [26];
   89;       [25];      /R[5];      /S[3];  [20]/S[4];      /R[3];      /R[4];      /R[5]; [26]/S[16];
   90;       [25];      /R[5];      /S[3];  [20]/S[4];      /R[3];      /R[4];      /R[6]; [26]/S[16];
   91;       [25];      /R[6];      /R[7];  [20]/S[4];      /R[4];      /R[7];      /S[7]; [26]/S[16];
   92;  [25]/S[1];      /R[7];      /R[8];      /R[1];      /R[4];      /R[7];      /S[7];  [26]/S[8];
   93;  [25]/S[1];      /R[7];      /R[8];      /R[1];      /R[4];      /R[8];      /S[7];  [26]/S[8];
   94;  [25]/S[9];      /S[2];     /R[10];      /R[2];      /R[8];      /R[9];      /S[7];  [26]/S[8];
   95;  [25]/S[9];     /S[10];     /R[10];      /R[5];      /S[5];      /R[9];     /R[14];  [26]/S[8];
