***;Topology:; Hypercube;
   ;Method:; Cramer;
   ; Processor №14; 76.1; 9; 16.7;
   ; Processor №15; 63.4; 4; 8.9;
   ;Average workload:; 65.1;
   ;Average number of forwarding:; 3;
   ;Average hop to payload ratio:; 6.2;
***;Topology:; Grid;
   ;Method:; Cramer;
   ;Number of processors:; 16;
   ;Duration for 1 processor:; 748;
   ;Duration for multiprocessor system:; 74;
   ;Acceleration coefficient:; 10.108;
   ;Efficiency coefficient:; 0.632;
   ;Processor number/metric; Workload, %; Number of forwarding; Hop to payload, %;
   ; Processor №0; 78.7; 10; 16.9;
   ; Processor №1; 54.7; 1; 2.4;
   ; Processor №2; 54.7; 1; 2.4;
   ; Processor №3; 54.7; 1; 2.4;
   ; Processor №4; 54.7; 1; 2.4;
   ; Processor №5; 74.7; 6; 10.7;
   ; Processor №6; 74.7; 6; 10.7;
   ; Processor №7; 74.7; 9; 16.1;
   ; Processor №8; 54.7; 2; 4.9;
   ; Processor №9; 60.0; 4; 8.9;
   ; Processor №10; 54.7; 1; 2.4;
   ; Processor №11; 54.7; 1; 2.4;
   ; Processor №12; 60.0; 10; 22.2;
   ; Processor №13; 73.3; 13; 23.6;
   ; Processor №14; 54.7; 3; 7.3;
   ; Processor №15; 54.7; 2; 4.9;
   ;Average workload:; 61.8;
   ;Average number of forwarding:; 4;
   ;Average hop to payload ratio:; 8.8;
***;Topology:; Hypercube;
   ;Number of processors:; 8;
   ;Duration for 1 processor:; 864;
   ;Duration for multiprocessor system:; 192;
   ;Acceleration coefficient:; 4.500;
   ;Efficiency coefficient:; 0.563;
   ;Processor number/metric; Workload, %; Number of forwarding; Hop to payload, %;
   ; Processor №0; 44.0; 79; 92.9;
   ; Processor №1; 54.9; 50; 47.2;
   ; Processor №2; 43.0; 53; 63.9;
   ; Processor №3; 45.6; 73; 83.0;
   ; Processor №4; 40.4; 63; 80.8;
   ; Processor №5; 38.3; 59; 79.7;
   ; Processor №6; 41.5; 56; 70.0;
   ; Processor №7; 45.6; 90; 102.3;
   ;Average workload:; 44.2;
   ;Average number of forwarding:; 65;
   ;Average hop to payload ratio:; 77.5;
***;Topology:; Hypercube;
   ;Number of processors:; 16;
   ;Duration for 1 processor:; 864;
   ;Duration for multiprocessor system:; 141;
   ;Acceleration coefficient:; 6.128;
   ;Efficiency coefficient:; 0.383;
   ;Processor number/metric; Workload, %; Number of forwarding; Hop to payload, %;
   ; Processor №0; 43.7; 39; 62.9;
   ; Processor №1; 31.7; 27; 60.0;
   ; Processor №2; 31.0; 36; 81.8;
   ; Processor №3; 40.8; 38; 65.5;
   ; Processor №4; 38.7; 33; 60.0;
   ; Processor №5; 31.0; 26; 59.1;
   ; Processor №6; 30.3; 27; 62.8;
   ; Processor №7; 31.7; 29; 64.4;
   ; Processor №8; 26.1; 28; 75.7;
   ; Processor №9; 30.3; 24; 55.8;
   ; Processor №10; 28.9; 28; 68.3;
   ; Processor №11; 40.8; 38; 65.5;
   ; Processor №12; 38.0; 47; 87.0;
   ; Processor №13; 31.0; 23; 52.3;
   ; Processor №14; 30.3; 26; 60.5;
   ; Processor №15; 32.4; 34; 73.9;
   ;Average workload:; 33.5;
   ;Average number of forwarding:; 31;
   ;Average hop to payload ratio:; 66.0;
***;Topology:; Grid;
   ;Number of processors:; 8;
   ;Duration for 1 processor:; 864;
   ;Duration for multiprocessor system:; 205;
   ;Acceleration coefficient:; 4.215;
   ;Efficiency coefficient:; 0.527;
   ;Processor number/metric; Workload, %; Number of forwarding; Hop to payload, %;
   ; Processor №0; 38.8; 86; 107.5;
   ; Processor №1; 45.6; 59; 62.8;
   ; Processor №2; 36.9; 67; 88.2;
   ; Processor №3; 39.8; 59; 72.0;
   ; Processor №4; 46.1; 53; 55.8;
   ; Processor №5; 45.6; 99; 105.3;
   ; Processor №6; 35.4; 76; 104.1;
   ; Processor №7; 35.4; 75; 102.7;
   ;Average workload:; 40.5;
   ;Average number of forwarding:; 71;
   ;Average hop to payload ratio:; 87.3;
***;Topology:; Grid;
   ;Number of processors:; 16;
   ;Duration for 1 processor:; 864;
   ;Duration for multiprocessor system:; 158;
   ;Acceleration coefficient:; 5.468;
   ;Efficiency coefficient:; 0.342;
   ;Processor number/metric; Workload, %; Number of forwarding; Hop to payload, %;
   ; Processor №0; 47.8; 66; 86.8;
   ; Processor №1; 27.7; 45; 102.3;
   ; Processor №2; 25.8; 36; 87.8;
   ; Processor №3; 23.9; 43; 113.2;
   ; Processor №4; 23.9; 40; 105.3;
   ; Processor №5; 35.2; 39; 69.6;
   ; Processor №6; 25.2; 41; 102.5;
   ; Processor №7; 25.2; 45; 112.5;
   ; Processor №8; 25.8; 39; 95.1;
   ; Processor №9; 34.6; 42; 76.4;
   ; Processor №10; 32.1; 46; 90.2;
   ; Processor №11; 25.8; 44; 107.3;
   ; Processor №12; 22.0; 53; 151.4;
   ; Processor №13; 23.3; 40; 108.1;
   ; Processor №14; 24.5; 57; 146.2;
   ; Processor №15; 20.1; 52; 162.5;
   ;Average workload:; 27.7;
   ;Average number of forwarding:; 45;
   ;Average hop to payload ratio:; 107.3;
***;Topology:; DeBruijn;
   ;Number of processors:; 8;
   ;Duration for 1 processor:; 864;
   ;Duration for multiprocessor system:; 193;
   ;Acceleration coefficient:; 4.477;
   ;Efficiency coefficient:; 0.560;
   ;Processor number/metric; Workload, %; Number of forwarding; Hop to payload, %;
   ; Processor №0; 42.3; 84; 102.4;
   ; Processor №1; 51.0; 46; 46.5;
   ; Processor №2; 49.0; 90; 94.7;
   ; Processor №3; 41.8; 54; 66.7;
   ; Processor №4; 41.8; 50; 61.7;
   ; Processor №5; 39.7; 63; 81.8;
   ; Processor №6; 48.5; 50; 53.2;
   ; Processor №7; 35.6; 80; 115.9;
