    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
   63;      /R[5];       [19];       [24];      /R[8];  [18]/S[5];       [23]; [22]/S[15];  [25]/S[8];
   64;      /R[6];       [19];       [24];      /R[8];       [18];  [23]/S[6]; [22]/S[15];  [25]/S[8];
   65;      /R[6];       [19];       [24];     /R[13]; [18]/S[13];  [23]/S[6];       [22]; [25]/S[16];
   66;      /R[6];       [19];       [24];     /R[14];       [18];  [23]/S[6];       [22];       [25];
   67;      /R[8];       [19];       [24];     /R[14];       [18]; [23]/S[14]; [22]/S[15];  [25]/S[8];
   68;      /S[1];       [19];      /R[1];     /R[15];       [18];       [23]; [22]/S[15];  [25]/S[8];
   69;      /S[1];       [19];      /R[1];     /R[16];       [18];       [23]; [22]/S[15];  [25]/S[8];
   70;     /R[13];       [19];      /R[4];      /S[4]; [18]/S[13];       [23];       [22]; [25]/S[16];
   71;     /R[13];       [19];      /R[4];  [26]/S[4]; [18]/S[13];       [23];       [22]; [25]/S[16];
   72;     /R[14];       [19];      /R[4];  [26]/S[4];       [18]; [23]/S[14];       [22];       [25];
   73;     /R[14];       [19];      /R[5]; [26]/S[12];  [18]/S[5]; [23]/S[14];       [22];       [25];
   74;     /R[14];       [19];      /R[5];       [26];  [18]/S[5]; [23]/S[14];       [22];       [25];
   75;     /R[16];       [19];      /R[7];       [26];       [18];       [23];  [22]/S[7]; [25]/S[16];
   76;     /R[16];       [19];      /R[7];       [26];       [18];       [23];  [22]/S[7]; [25]/S[16];
   77;     /R[16];       [19];      /R[7];       [26];       [18];       [23];  [22]/S[7]; [25]/S[16];
   78;  [27]/S[1];       [19];      /R[7];       [26];      /R[1];       [23];  [22]/S[7];       [25];
   79;  [27]/S[1];       [19];     /R[13];       [26];      /R[1];       [23];       [22];       [25];
   80;  [27]/S[1];  [19]/S[2];     /R[13];       [26];      /R[2];       [23];  [22]/R[1];       [25];
   81;  [27]/S[1];       [19];      /S[3];       [26];      /R[3];       [23];      /R[1];       [25];
   82;  [27]/S[1];  [19]/S[2];      /S[3];       [26];      /R[3];  [23]/R[1];      /R[2];       [25];
   83;  [27]/S[1];  [19]/S[2];     /R[15];       [26];      /R[7];  [23]/R[1];      /R[2];       [25];
   84;  [27]/S[1];      /R[1];     /R[15];       [26];      /R[7];      /R[1];      /R[2];       [25];
   85;       [27];      /S[2];  [28]/S[3];  [26]/S[4];      /R[8];      /R[2];      /R[3];  [25]/S[8];
   86;       [27];      /S[2];  [28]/S[3];  [26]/S[4];     /R[10];      /R[2];      /R[3];       [25];
   87;       [27];      /R[5];  [28]/S[3];  [26]/S[4];      /S[5];      /R[4];      /R[3];       [25];
