    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
   65;       [33];           ;           ;           ;       [28];       [31];       [29];       [27];           ;       [23];           ;       [24];       [22]; [30]/S[14];       [32];           ;
   66;       [33];           ;           ;           ;       [28];       [31];       [29];       [27];           ;       [23];           ;       [24];       [22]; [30]/S[14];       [32];           ;
   67;       [33];           ;           ;           ;       [28];       [31];       [29];       [27];           ;       [23];           ;       [24];       [22];       [30];       [32];           ;
   68;       [33];           ;           ;           ;       [28];       [31];       [29];       [27];           ;       [23];           ;           ;       [22];       [30];       [32];           ;
   69;       [33];           ;           ;           ;       [28];       [31];       [29];       [27];           ;       [23];           ;           ;       [22];       [30];       [32];           ;
   70;       [33];           ;           ;           ;           ;       [31];       [29];       [27];           ;       [23];           ;           ;       [22];       [30];       [32];           ;
   71;       [33];           ;           ;           ;           ;       [31];       [29];       [27];           ;       [23];           ;           ;       [22];       [30];       [32];           ;
   72;       [33];           ;           ;           ;           ;       [31];       [29];       [27];           ;       [23];           ;           ;       [22];       [30];       [32];           ;
   73;       [33];           ;           ;           ;           ;       [31];       [29];       [27];           ;       [23];           ;           ;       [22];       [30];       [32];           ;
   74;       [33];           ;           ;           ;     /R[25]; [31]/S[25];       [29];       [27];           ;       [23];           ;           ;       [22];       [30];       [32];           ;
   75; [34]/S[33];     /R[21];     /S[21];           ;     /R[25]; [31]/S[25];       [29];       [27];     /R[33];       [23];           ;           ;       [22];       [30];       [32];           ;
   76; [34]/S[33];     /R[33];           ;     /S[26];     /R[33];       [31];       [29];       [27];       [38];       [23];           ;     /R[26];       [22];       [30];       [32];           ;
   77;       [34];       [35];           ;     /S[26];       [36];       [31];       [29];       [27];       [38];       [23];           ;     /R[26];           ;       [30];       [32];           ;
   78;     /S[33]; [35]/S[20];     /R[19];     /R[20];       [36];       [31];       [29];       [27]; [38]/R[22];       [23];     /S[19];     /R[33];     /S[22];       [30];       [32];           ;
   79;     /S[33];       [35];     /S[21];     /R[21]; [36]/S[28];       [31]; [29]/R[33];       [27];     /R[33];     /R[33];     /R[24]; [40]/S[24];     /R[28];       [30];       [32];           ;
   80;     /S[33];           ;     /R[33];     /R[33];     /S[28];       [31]; [29]/R[33];       [27];       [39];     /R[33];     /R[24]; [40]/S[24];     /R[28];       [30];       [32];           ;
   81;     /S[33];           ;       [42];     /R[33];           ;       [31];       [37];     /R[33];       [39];       [43];     /R[33];       [40];     /R[33];       [30];       [32];           ;
   82;     /S[33];           ;       [42];       [46];           ;       [31];       [37];     /R[33];       [39];       [43];     /R[33];           ;     /R[33];       [30];       [32];           ;
