    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
   92;       [17];       [18];       [19];       [20];           ;           ;       [21];           ;
   93;       [17];       [18];       [19];       [20];           ;           ;       [21];           ;
   94;       [17];       [18];       [19];       [20];           ;           ;       [21];           ;
   95;       [17];       [18];       [19];       [20];           ;           ;       [21];           ;
   96;       [17];       [18];       [19];       [20];           ;           ;       [21];           ;
   97;       [17];       [18];       [19];       [20];           ;           ;       [21];           ;
   98;       [17];       [18];       [19];       [20];           ;           ;       [21];           ;
   99;           ;       [18];       [19];       [20];           ;           ;       [21];           ;
  100;           ;           ;       [19];           ;           ;           ;       [21];           ;
  101;           ;           ;       [19];           ;           ;           ;       [21];           ;
  102;           ;           ;           ;           ;           ;           ;       [21];           ;
  103;     /S[17];           ;           ;           ;           ;           ; [21]/R[17];           ;
  104;     /S[17];           ;           ;           ;           ;           ; [21]/R[17];           ;
  105;           ;     /R[21];           ;     /S[20];           ;     /R[20]; [22]/S[21];           ;
  106;           ;       [23];     /S[19];     /S[20];     /R[19];     /R[20];       [22];           ;
  107;           ;       [23];           ;           ;     /R[21];     /R[21]; [22]/S[21];           ;
  108;           ;       [23];           ;           ;       [24];       [25];       [22];           ;
  109;           ;       [23];           ;           ;       [24];       [25];           ;           ;
  110;           ;           ;           ;           ;       [24];       [25];           ;           ;
  111;           ;           ;           ;           ;       [24];       [25];           ;           ;
