    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
   44;  [17]/S[1];     /R[14];           ;       [25];           ;           ;      /R[1];           ;           ;           ;       [21];       [26];     /R[16]; [20]/S[14];       [19];     /S[16];
   45;  [17]/S[1];     /R[14];      /S[3];       [25];      /R[1];           ;      /R[3];           ;           ;           ;       [21]; [26]/S[12];     /R[16]; [20]/S[14];       [19];     /S[16];
   46;  [17]/S[1];     /R[14];      /S[3];       [25];      /R[1];           ;      /R[3];           ;           ;           ; [21]/S[11]; [26]/S[12];       [18]; [20]/S[14];       [19];           ;
   47;  [17]/S[1];      /S[2];      /S[3];       [25];      /R[2];           ;      /R[3];           ;      /R[1];           ; [21]/S[11];       [26];       [18];       [20];       [19];     /S[16];
   48;  [17]/S[1];      /S[2];           ;  [25]/S[4];      /R[2];           ;      /R[4];      /R[1];      /R[2];      /R[1];       [21];       [26];       [18];       [20];       [19];     /S[16];
   49;  [17]/S[1];     /R[16];      /S[3];       [25];      /R[3];      /R[1];      /R[5];      /R[1];      /R[3];      /R[1];       [21];       [26];       [18];       [20];       [19];     /S[16];
   50;  [17]/S[1];       [24];      /R[1];      /R[1];      /R[7];      /R[1];      /S[7];      /R[1];      /R[3];      /R[1]; [21]/S[11];       [26];       [18]; [20]/S[14];       [19];           ;
   51;  [17]/S[1];  [24]/S[2];      /R[4];      /R[1];      /R[8];      /R[1];      /R[5];      /R[2];      /R[4];      /R[2]; [21]/S[11];       [26];       [18];     /S[14];       [19];           ;
   52;       [17];  [24]/S[2];      /R[4];      /R[2];      /R[8];      /R[2];     /R[13];      /R[2];      /R[4];      /R[2]; [21]/S[11];       [26]; [18]/S[13];           ;       [19];           ;
   53;       [17];  [24]/S[2];      /R[5];      /R[6];     /R[10];      /S[6];     /R[15];      /R[4];     /R[10];     /S[10];       [21];       [26];       [18];           ; [19]/S[15];           ;
   54;       [17];       [24];      /S[3];      /R[7];      /S[5];      /R[3];      /S[7];      /R[5];      /S[9];      /R[9]; [21]/S[11]; [26]/S[12];       [18];           ; [19]/S[15];           ;
   55;       [17];       [24];      /R[8];      /R[9];      /S[5];      /R[4];       [28];      /R[5];      /S[9];      /R[9];       [21]; [26]/S[12];       [18];           ;       [19];           ;
   56;       [17];  [24]/S[2];      /R[8];      /R[9];      /S[5];      /R[4];       [28];      /R[5];      /S[9];     /R[11]; [21]/S[11]; [26]/S[12];       [18];           ;       [19];           ;
   57;       [17];       [24];      /R[8];     /R[10];  [29]/S[5];      /S[6];       [28];      /R[6];     /R[12];     /S[10]; [21]/S[11];       [26];       [18];           ;       [19];           ;
   58;       [17];       [24];     /R[13];     /R[11];  [29]/S[5];      /S[6];       [28];      /R[6];     /R[12];     /R[11]; [21]/S[11];       [26]; [18]/S[13];           ;       [19];           ;
   59;       [17];  [24]/S[2];     /R[13];     /R[11];       [29];      /R[8];  [28]/S[7];      /R[7];     /R[13];     /R[12]; [21]/S[11]; [26]/S[12]; [18]/S[13];           ;       [19];           ;
   60;      /R[2];  [24]/S[2];     /R[14];       [32];  [29]/S[5];      /R[8];  [28]/S[7];      /R[7];     /R[15];     /R[12];       [21]; [26]/S[12];       [18];     /S[14]; [19]/S[15];           ;
   61;      /R[3];       [24];      /S[3];  [32]/S[4];  [29]/S[5];      /R[9];       [28];      /R[9];      /S[9];     /R[12];           ; [26]/S[12];       [18];     /S[14]; [19]/S[15];           ;
   62;      /R[3];       [24];      /S[3];  [32]/S[4];  [29]/S[5];      /R[9];       [28];      /R[9];      /S[9];     /R[13];           ;       [26]; [18]/S[13];     /S[14];       [19];     /S[16];
   63;      /R[4];       [24];     /R[16];  [32]/S[4];       [29];      /R[9];       [28];      /R[9];      /S[9];     /R[14];           ;       [26];       [18];     /S[14];       [19];     /S[16];
   64;      /R[4];       [24];     /R[16];  [32]/S[4];  [29]/S[5];     /R[11];       [28];     /R[10];     /R[16];     /S[10];     /S[11];       [26];       [18];     /S[14];       [19];     /S[16];
   65;           ;       [24];     /R[16];  [32]/S[4];       [29];     /R[12];       [28];     /R[10];       [22];     /S[10];           ; [26]/S[12];       [18];     /S[14];       [19];     /S[16];
   66;           ;       [24];     /R[16];  [32]/S[4];       [29];       [30];       [28];     /R[12];       [22];     /R[15];           ; [26]/S[12];       [18];           ; [19]/S[15];     /S[16];
